""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"1247"	"24299.0"	"0.0"	"Week1"	"78.0"	"F"	"1.0"	"HAM PALACE"	"4700 DAVISON ST E, HAMTRAMCK MI 48212 US"	"-83.054811"	"42.417752"
"1248"	"33242.0"	"0.0"	"Week1"	"78.0"	"F"	"2.0"	"MOTOWN CONEY ISLAND"	"1936 8 MILE ROAD, DETROIT MI 48234 US"	"-83.082248"	"42.446149"
"1249"	"23671.0"	"0.0"	"Week2"	"78.0"	"F"	"2.0"	"SECOND EBENEZER CHURCH"	"14601 Dequindre Rd, DETROIT MI 48212 US"	"-83.083971"	"42.41655"
"1250"	"99112.0"	"2.0"	"Week1"	"78.0"	"F"	"3.0"	"INTIMATE IDEAS-HAZEL PARK"	"20731 DEQUINDRE, HAZEL PARK MI 48030 US"	"-83.08377"	"42.447683"
"1251"	"31782.0"	"0.0"	"Week1"	"78.0"	"F"	"4.0"	"LA CONEY ISLAND"	"25044 DEQUINDRE, WARREN MI 48091 US"	"-83.084203"	"42.476929"
"1252"	"26939.0"	"0.0"	"Week2"	"78.0"	"F"	"4.0"	"NEVADA CONEY ISLAND"	"18000 RYAN ROAD, DETROIT MI 48234 US"	"-83.062492"	"42.426024"
"1253"	"31025.0"	"0.0"	"Week1"	"78.0"	"F"	"5.0"	"INFINITY TRUCK REPAIR"	"2201 CENTERWOOD DR, WARREN MI 48091 US"	"-83.081142"	"42.470345"
"1254"	"26442.0"	"1.0"	"Week2"	"78.0"	"F"	"5.0"	"7 MILE DEQUINDRE MINI MART"	"1901 E. 7 MILE ROAD, DETROIT MI 48234 US"	"-83.082547"	"42.433153"
"1255"	"27670.0"	"1.0"	"Week1"	"78.0"	"F"	"6.0"	"CATTLEMANS EAST"	"25225 VAN DYKE, CENTERLINE MI 48015 US"	"-83.028262"	"42.479794"
"1256"	"33063.0"	"0.0"	"Week1"	"78.0"	"F"	"7.0"	"JOE'S CONEY ISLAND 2"	"25604 VAN DYKE AVENUE, CENTERLINE MI 48015 US"	"-83.027032"	"42.483015"
"1257"	"99153.0"	"7.0"	"Week1"	"78.0"	"F"	"8.0"	"BINSON'S MEDICAL"	"7277 BERNICE, CENTERLINE MI 48015 US"	"-83.031263"	"42.488363"
"1258"	"99153.0"	"11.0"	"Week1"	"78.0"	"F"	"9.0"	"BINSON'S MEDICAL"	"26330 LAWRENCE, CENTERLINE MI 48015 US"	"-83.031549"	"42.486718"
"1259"	"99159.0"	"1.0"	"Week2"	"78.0"	"F"	"9.0"	"KJT MARATHON"	"3951 E 10 MILE ROAD, WARREN MI 48091 US"	"-83.065887"	"42.477029"
"1260"	"99153.0"	"9.0"	"Week1"	"78.0"	"F"	"10.0"	"BINSON'S MEDICAL"	"26819 LAWRENCE, CENTERLINE MI 48015 US"	"-83.0330881"	"42.4906154"
"1261"	"99153.0"	"10.0"	"Week1"	"78.0"	"F"	"11.0"	"BINSON'S MEDICAL"	"26834 LAWERENCE, CENTERLINE MI 48150 US"	"-83.032169"	"42.490487"
"1262"	"24871.0"	"0.0"	"Week1"	"78.0"	"F"	"12.0"	"HAM CENTER RESTAURANT"	"28809 VAN DYKE, WARREN MI 48092 US"	"-83.028546"	"42.50519"
"1263"	"24398.0"	"0.0"	"Week1"	"78.0"	"F"	"13.0"	"GOLDEN HARVEST"	"6880 12 MILE ROAD, WARREN MI 48092 US"	"-83.034328"	"42.505934"
"1264"	"24876.0"	"0.0"	"Week2"	"78.0"	"F"	"13.0"	"MORNING STAR RESTAURANT"	"12000 TEN MILE RD, WARREN MI 48089 US"	"-83.001887"	"42.477586"
"1265"	"99033.0"	"114.0"	"Week1"	"78.0"	"F"	"14.0"	"ST JOHN MACOMB HOSPITAL #25922"	"11800 E. 12 MILE RD, WARREN MI 48093 US"	"-83.00544"	"42.505807"
"1266"	"99099.0"	"0.0"	"Week1"	"78.0"	"F"	"15.0"	"235"	"27070 HOOVER ROAD SUITE A, WARREN MI 48093 US"	"-83.005787"	"42.493345"
"1267"	"30577.0"	"0.0"	"Week1"	"78.0"	"F"	"16.0"	"DAN'S DINER"	"24920 HOOVER RD, WARREN MI 48089 US"	"-83.005512"	"42.47715"
"1268"	"29955.0"	"0.0"	"Week2"	"78.0"	"F"	"16.0"	"BUTTER NUT BAKERY"	"24906 VAN DYKE AVE, CENTERLINE MI 48015 US"	"-83.026802"	"42.47684"
"1269"	"50592.0"	"0.0"	"Week4"	"78.0"	"F"	"16.0"	"C & G PUBLISHING"	"13650 11 MILE, WARREN MI 48089 US"	"-82.986306"	"42.491856"
"1270"	"33292.0"	"0.0"	"Week1"	"78.0"	"F"	"17.0"	"ROLEX TOWING"	"7207 E. 8 MILE ROAD, WARREN MI 48091 US"	"-83.029356"	"42.44865"
"1271"	"29972.0"	"0.0"	"Week2"	"78.0"	"F"	"17.0"	"MOTOR CITY SPORTS BAR"	"21231 MOUND RD., WARREN MI 48091 US"	"-83.044893"	"42.45223"
"1272"	"33086.0"	"0.0"	"Week1"	"78.0"	"F"	"18.0"	"ADVANCED TREATMENT CENTER"	"4777 E. OUTER DRIVE, DETROIT MI 48234 US"	"-83.019579"	"42.442263"
"1273"	"99062.0"	"116.0"	"Week1"	"78.0"	"F"	"19.0"	"7 MILE FOODS #4636"	"8139 E 7 MILE, DETROIT MI 48234 US"	"-83.021544"	"42.434228"
"1274"	"33466.0"	"0.0"	"Week2"	"78.0"	"F"	"19.0"	"DETROIT GRILL & SMOOTHIE BAR"	"20216 VAN DYKE AVENUE, DETROIT MI 48234 US"	"-83.024256"	"42.445385"
"1275"	"32697.0"	"0.0"	"Week1"	"78.0"	"F"	"20.0"	"VANDYKE AUTOMOTIVE"	"13832 VAN DYKE, DETROIT MI 48234 US"	"-83.023252"	"42.419151"
"1276"	"32959.0"	"0.0"	"Week1"	"78.0"	"F"	"21.0"	"MODHUBON SWEETS"	"3611 CARPENTER ST, DETROIT MI 48212 US"	"-83.058072"	"42.409073"
"1277"	"27600.0"	"0.0"	"Week1"	"78.0"	"F"	"22.0"	"BOZEK MARKET"	"3317 CANNIFF ST., HAMTRAMCK MI 48212 US"	"-83.055994"	"42.40149"
"1278"	"99051.0"	"18.0"	"Week1"	"78.0"	"F"	"23.0"	"JET'S PIZZA MI-020"	"10035 JOSEPH CAMPAU ST, HAMTRAMICK MI 48212 US"	"-83.059073"	"42.398199"
"1279"	"31996.0"	"0.0"	"Week1"	"78.0"	"F"	"24.0"	"SRODEK'S QUALITY SAUSAGE"	"9601 JOSEPH CAMPAU, HAMTRAMCK MI 48212 US"	"-83.057528"	"42.395856"
"1280"	"32575.0"	"0.0"	"Week2"	"78.0"	"F"	"24.0"	"FANTASTIC SUBS"	"9335 CONANT, HAMTRAMCK MI 48212 US"	"-83.049098"	"42.396726"
"1281"	"28798.0"	"0.0"	"Week1"	"78.0"	"F"	"25.0"	"POLONIA"	"2934 YEMANS ST, HAMTRAMCK MI 48212 US"	"-83.057695"	"42.397782"
"1282"	"29624.0"	"0.0"	"Week2"	"78.0"	"F"	"25.0"	"MOTOR CITY SPORTS BAR"	"9122 JOSEPH CAMPAU ST., HAMTRAMCK MI 48212 US"	"-83.054795"	"42.392681"
"1283"	"32500.0"	"0.0"	"Week1"	"78.0"	"F"	"26.0"	"REMAS RESTAURANT"	"11444 JOSEPH CAMPAU, HAMTRAMCK MI 48212 US"	"-83.060567"	"42.401441"
"1284"	"31407.0"	"0.0"	"Week1"	"78.0"	"F"	"27.0"	"LA CONEY ISLAND"	"1700 E MCNICHOLS RD., DETROIT MI 48203 US"	"-83.085734"	"42.417643"
"1285"	"32682.0"	"0.0"	"Week1"	"78.0"	"F"	"28.0"	"FABIANO BROTHERS INC."	"1600 MODERN STREET, DETROIT MI 48203 US"	"-83.08343"	"42.411694"
"1286"	"25390.0"	"0.0"	"Week1"	"78.0"	"F"	"29.0"	"PLEASANT GROVE BAPTIST"	"13651 DEQUINDRE ST ATT: RICHARD MARSH, DETROIT MI 48212 US"	"-83.080146"	"42.412586"
"1287"	"32924.0"	"0.0"	"Week1"	"78.0"	"F"	"30.0"	"SEMCA"	"144 E MANCHESTER STREET, HIGHLAND PARK MI 48203 US"	"-83.092669"	"42.408466"
"1288"	"99062.0"	"166.0"	"Week1"	"78.0"	"F"	"31.0"	"GLORY SUPERMARKET #555"	"14100 WOODWARD AVENUE, HIGHLAND PARK MI 48203 US"	"-83.096682"	"42.408336"
"1289"	"99161.0"	"166.0"	"Week1"	"78.0"	"F"	"32.0"	"GLORY SUPERMKT #555 F.A."	"14100 WOODWARD AVENUE, HIGHLAND PARK MI 48203 US"	"-83.096682"	"42.408336"
"1290"	"99124.0"	"3.0"	"Week1"	"78.0"	"M"	"1.0"	"BANGKOK CUISINE"	"8583 26 MILE RD, WASHINGTON TWP MI 48094 US"	"-83.029746"	"42.715527"
"1291"	"99035.0"	"24.0"	"Week4"	"78.0"	"M"	"1.0"	"INDEPENDENT BANK #336"	"49785 VAN DYKE AVE, SHELBY TOWNSHIP MI 48317 US"	"-83.034179"	"42.660795"
"1292"	"27796.0"	"0.0"	"Week1"	"78.0"	"M"	"2.0"	"STONY CREEK ROAD HOUSE"	"3000 26 MILE RD, SHELBY TOWNSHIP MI 48316 US"	"-83.083929"	"42.711749"
"1293"	"99166.0"	"1.0"	"Week1"	"78.0"	"M"	"3.0"	"BAR VERONA WASHINGTON"	"59145 VAN DYKE AVENUE, WASHINGTON TWP MI 48094 US"	"-83.036432"	"42.7288"
"1294"	"99051.0"	"13.0"	"Week1"	"78.0"	"M"	"4.0"	"JET'S PIZZA MI-063"	"64860 VANDYKE, WASHINGTON TWP MI 48094 US"	"-83.016344"	"42.771602"
"1295"	"31289.0"	"0.0"	"Week1"	"78.0"	"M"	"5.0"	"ROMEO CONEY ISLAND"	"130 S. MAIN ST., ROMEO MI 48065 US"	"-83.013783"	"42.801661"
"1296"	"28622.0"	"0.0"	"Week1"	"78.0"	"M"	"6.0"	"TIME SQUARE"	"70927 VAN DYKE, ROMEO MI 48065 US"	"-83.020761"	"42.816278"
"1297"	"99055.0"	"4.0"	"Week1"	"78.0"	"M"	"7.0"	"JET'S PIZZA MI-164 (RED)"	"16376 26 MILE RD, MACOMB MI 48042 US"	"-82.961408"	"42.714399"
"1298"	"30457.0"	"0.0"	"Week2"	"78.0"	"M"	"7.0"	"VINCE & JOES PIZZA & DELI"	"58865 ROMEO PLANK RD, RAY TWP MI 48096 US"	"-82.960599"	"42.729934"
"1299"	"30708.0"	"0.0"	"Week1"	"78.0"	"M"	"8.0"	"CLINTON MACOMB PUBLIC LIBRARY"	"54100 BROUGHTON ROAD, MACOMB MI 48042 US"	"-82.920736"	"42.695672"
"1300"	"32495.0"	"1.0"	"Week1"	"78.0"	"M"	"9.0"	"900 DEGREES/LAFATA CABINETS"	"50925 HAYES ROAD, SHELBY TOWNSHIP MI 48315 US"	"-82.975906"	"42.670195"
"1301"	"32541.0"	"0.0"	"Week2"	"78.0"	"M"	"9.0"	"J-RUS INC"	"15977 LEONE DRIVE, MACOMB MI 48042 US"	"-82.965089"	"42.678001"
"1302"	"32495.0"	"0.0"	"Week1"	"78.0"	"M"	"10.0"	"900 DEGREES"	"50925 HAYES ROAD, SHELBY TOWNSHIP MI 48315 US"	"-82.975906"	"42.670195"
"1303"	"99048.0"	"37.0"	"Week1"	"78.0"	"M"	"11.0"	"OLGA'S #203 SHELBY"	"15109 23 MILE RD, SHELBY TOWNSHIP MI 48315 US"	"-82.976132"	"42.671814"
"1304"	"31691.0"	"2.0"	"Week1"	"78.0"	"M"	"12.0"	"TROPICAL SMOOTHIE CAFE 23 MILE"	"14901 23 MILE RD., SHELBY TOWNSHIP MI 48316 US"	"-82.979538"	"42.672176"
"1305"	"31506.0"	"0.0"	"Week1"	"78.0"	"M"	"13.0"	"DR. JOSEPH M. HILDEBRAND"	"50154 SCHOEHERR, SHELBY TOWNSHIP MI 48315 US"	"-82.993138"	"42.665188"
"1306"	"99166.0"	"0.0"	"Week1"	"78.0"	"M"	"14.0"	"VERONA INSPIRED ITALIAN"	"50741 CORPORATE DRIVE, SHELBY TWP MI 48315 US"	"-83.011816"	"42.668024"
"1307"	"32197.0"	"0.0"	"Week1"	"78.0"	"M"	"15.0"	"LITTLE INDIA"	"8194 23 MILE ROAD, SHELBY TOWNSHIP MI 48316 US"	"-83.031269"	"42.668726"
"1308"	"32175.0"	"0.0"	"Week1"	"78.0"	"M"	"16.0"	"SEDONA TAPHOUSE"	"198 E BIG BEAVER RD., TROY MI 48083 US"	"-83.143208"	"42.562114"
"1309"	"27797.0"	"0.0"	"Week2"	"78.0"	"M"	"16.0"	"UTICA CONEY ISLAND"	"51067 MOUND RD, SHELBY TOWNSHIP MI 48316 US"	"-83.054365"	"42.669948"
"1310"	"22838.0"	"0.0"	"Week4"	"78.0"	"M"	"16.0"	"DEBBY'S DOLLAR"	"58952 VANDYKE, WASHINGTON TWP MI 48094 US"	"-83.033964"	"42.727066"
"1311"	"30192.0"	"0.0"	"Week1"	"78.0"	"R"	"1.0"	"RYAN GRILL"	"4007 E 11 MILE, WARREN MI 48092 US"	"-83.067516"	"42.491965"
"1312"	"24517.0"	"0.0"	"Week1"	"78.0"	"R"	"2.0"	"THAI STAR RESTAURANT"	"28841 RYAN RD, WARREN MI 48092 US"	"-83.067854"	"42.505041"
"1313"	"99033.0"	"111.0"	"Week1"	"78.0"	"R"	"3.0"	"ST JOHN MACOMB OAKLAND #25924"	"27351 DEQUINDRE RD, MADISON HTS MI 48071 US"	"-83.086839"	"42.493925"
"1314"	"32855.0"	"0.0"	"Week1"	"78.0"	"R"	"4.0"	"THE COACH SPORTS GRILLE"	"26685 DEQUINDRE, MADISON HEIGHTS MI 48071 US"	"-83.085536"	"42.489818"
"1315"	"24251.0"	"0.0"	"Week1"	"78.0"	"R"	"5.0"	"THE TELWAY"	"27000 JOHN R, MADISON HEIGHTS MI 48071 US"	"-83.104997"	"42.491057"
"1316"	"22457.0"	"0.0"	"Week1"	"78.0"	"R"	"6.0"	"CLUB VENETIAN"	"29310 JOHN R, MADISON HEIGHTS MI 48071 US"	"-83.104791"	"42.507269"
"1317"	"99079.0"	"3.0"	"Week1"	"78.0"	"R"	"7.0"	"RED ROBIN #379"	"31805 JOHN R, MADISON HEIGHTS MI 48071 US"	"-83.107563"	"42.526661"
"1318"	"28933.0"	"0.0"	"Week4"	"78.0"	"R"	"7.0"	"SHELL 14 MILE/JOHN R"	"32845 JOHN R, MADISON HEIGHTS MI 48071 US"	"-83.1075517"	"42.5337574"
"1319"	"32353.0"	"0.0"	"Week1"	"78.0"	"R"	"8.0"	"NATIONAL GROCERIES INDIAN CUIS"	"33148 RYAN ROAD, STERLING HEIGHTS MI 48120 US"	"-83.067137"	"42.536322"
"1320"	"27323.0"	"0.0"	"Week2"	"78.0"	"R"	"8.0"	"MEAT WORLD"	"4163 15 MILE ROAD, STERLING HEIGHTS MI 48237 US"	"-83.067255"	"42.550834"
"1321"	"28490.0"	"0.0"	"Week1"	"78.0"	"R"	"9.0"	"BP RYAN ROAD"	"4040 E. 14 MILE RD., WARREN MI 48092 US"	"-83.068041"	"42.535092"
"1322"	"31334.0"	"0.0"	"Week1"	"78.0"	"R"	"10.0"	"NICKY D'S SPORTS BAR & GRILL L"	"2100 E 14 MILE RD, WARREN MI 48092 US"	"-83.085209"	"42.534443"
"1323"	"24180.0"	"0.0"	"Week2"	"78.0"	"R"	"10.0"	"PENN THAI CAFE"	"3658 ROCHESTER RD, TROY MI 48083 US"	"-83.12711"	"42.572115"
"1324"	"99048.0"	"9.0"	"Week1"	"78.0"	"R"	"11.0"	"OLGAS #149 TROY"	"1853 E BIG BEAVER RD, TROY MI 48083 US"	"-83.111169"	"42.564486"
"1325"	"33166.0"	"0.0"	"Week2"	"78.0"	"R"	"11.0"	"QUICKLY BOBA CAFE"	"3668 ROCHESTER ROAD, TROY MI 48083 US"	"-83.127362"	"42.572111"
"1326"	"30700.0"	"0.0"	"Week1"	"78.0"	"R"	"12.0"	"LA MARSA"	"3720 ROCHESTER RD, TROY MI 48083 US"	"-83.127248"	"42.57281"
"1327"	"99051.0"	"16.0"	"Week1"	"78.0"	"R"	"13.0"	"JET'S PIZZA MI-011"	"5072 ROCHESTER RD, TROY MI 48098 US"	"-83.1283798"	"42.5935837"
"1328"	"21960.0"	"0.0"	"Week1"	"78.0"	"R"	"14.0"	"TROY VET HOSPITAL"	"3705 ROCHESTER RD, TROY MI 48007 US"	"-83.128679"	"42.572663"
"1329"	"30920.0"	"1.0"	"Week1"	"78.0"	"R"	"15.0"	"KURRYS AT TROY"	"3303 ROCHESTER RD, TROY MI 48083 US"	"-83.128531"	"42.56749"
"1330"	"33098.0"	"0.0"	"Week1"	"78.0"	"R"	"16.0"	"CHARMINAR BIRYANI HOUSE"	"3059 ROCHESTER ROAD, TROY MI 48083 US"	"-83.129431"	"42.563943"
"1331"	"30824.0"	"0.0"	"Week1"	"78.0"	"R"	"17.0"	"SY THAI-TROY"	"459 E BIG BEAVER, TROY MI 48083 US"	"-83.138764"	"42.563276"
"1332"	"32175.0"	"0.0"	"Week1"	"78.0"	"R"	"18.0"	"SEDONA TAPHOUSE"	"198 E BIG BEAVER RD., TROY MI 48083 US"	"-83.143208"	"42.562114"
"1333"	"33433.0"	"0.0"	"Week1"	"78.0"	"R"	"19.0"	"SILVER STAR AUTO CARE"	"741 WEST 11 MILE RD, MADISON HEIGHTS MI 48071 US"	"-83.112718"	"42.490369"
