""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"512"	"30437.0"	"0.0"	"Week1"	"70.0"	"F"	"1.0"	"AL-HARAMAIN INT. FOODS"	"24065 ORCHARD LAKE ROAD, FARMINGTON MI 48336 US"	"-83.358166"	"42.469248"
"513"	"50643.0"	"0.0"	"Week2"	"70.0"	"F"	"1.0"	"CIVIC CTR OFFICE PLA"	"25882 ORCHARD LAKE #, FARMINGTON HILLS MI 48336 US"	"-83.35715"	"42.484252"
"514"	"99033.0"	"261.0"	"Week1"	"70.0"	"F"	"2.0"	"GOOGLE FARMINGTON HILLS #54952"	"27555 FARMINGTON ROAD, FARMINGTON HILLS MI 48331 US"	"-83.379898"	"42.496643"
"515"	"99067.0"	"5.0"	"Week2"	"70.0"	"F"	"2.0"	"FARMINGTON HILLS-CITY HALL"	"31555 W. 11 MILE ROAD, FARMINGTON HILLS MI 48336 US"	"-83.3591558"	"42.4839907"
"516"	"99051.0"	"22.0"	"Week1"	"70.0"	"F"	"3.0"	"JET'S PIZZA MI-042"	"27897 ORCHARD LAKE RD, FARMINGTON HILLS MI 48334 US"	"-83.361167"	"42.500151"
"517"	"99067.0"	"0.0"	"Week2"	"70.0"	"F"	"3.0"	"FARMINGTON HILLS-POLICE DEPT"	"31655 W. 11 MILE ROAD, FARMINGTON HILLS MI 48336 US"	"-83.360347"	"42.484071"
"518"	"21152.0"	"0.0"	"Week1"	"70.0"	"F"	"4.0"	"STUDIO FOR HAIR"	"27895 ORCHARD LAKE, FARMINGTON HILLS MI 48334 US"	"-83.361171"	"42.500154"
"519"	"30489.0"	"0.0"	"Week1"	"70.0"	"F"	"5.0"	"SCRAMBLER MARIE'S"	"27909 ORCHARD LAKE RD, FARMINGTON HILLS MI 48334 US"	"-83.361152"	"42.499719"
"520"	"99094.0"	"23.0"	"Week2"	"70.0"	"F"	"5.0"	"LMCU 401"	"34391 W. 12 MILE RD, FARMINGTON HILLS MI 48331 US"	"-83.389305"	"42.497685"
"521"	"25081.0"	"0.0"	"Week1"	"70.0"	"F"	"6.0"	"ZEDAN LAB"	"27908 ORCHARD LAKE RD, FARMINGTON HILLS MI 48334 US"	"-83.357861"	"42.500544"
"522"	"33084.0"	"0.0"	"Week1"	"70.0"	"F"	"7.0"	"ORCHARD FOODS & GROCERY"	"28944 ORCHARD LAKE ROAD, FARMINGTON HILLS MI 48334 US"	"-83.358161"	"42.509342"
"523"	"26060.0"	"0.0"	"Week2"	"70.0"	"F"	"7.0"	"BANGKOK SALA CAFE"	"27903 ORCHARD LAKE RD, FARMINGTON HILLS MI 48334 US"	"-83.36116"	"42.499941"
"524"	"33490.0"	"0.0"	"Week1"	"70.0"	"F"	"8.0"	"JIANG NAN"	"29222 ORCHARD LAKE ROAD, FARMINGTON HILLS MI 48322 US"	"-83.358298"	"42.511573"
"525"	"30185.0"	"0.0"	"Week1"	"70.0"	"F"	"9.0"	"GOLDMAN & MILLER CARDIOLOGY PC"	"30335 W 13 MILE RD SUITE 103, FARMINGTON HILLS MI 48334 US"	"-83.352793"	"42.513332"
"526"	"29204.0"	"0.0"	"Week1"	"70.0"	"F"	"10.0"	"BAKE STATION BAKERY"	"29581ORCHARD LAKE RD, WEST BLOOMFIELD MI 48334 US"	"-83.360153"	"42.515253"
"527"	"27741.0"	"0.0"	"Week1"	"70.0"	"F"	"11.0"	"SUNRISE CAFE"	"29591 ORCHARD LAKE RD, FARMINGTON HILLS MI 48334 US"	"-83.360154"	"42.515285"
"528"	"33317.0"	"1.0"	"Week1"	"70.0"	"F"	"12.0"	"ANTHOLOGY OF FARMINGTON HILLS"	"30637 W. 14 MILE ROAD, FARMINGTON HILLS MI 48334 US"	"-83.3526112"	"42.5277403"
"529"	"99062.0"	"38.0"	"Week1"	"70.0"	"F"	"13.0"	"MARKET SQUARE #970"	"2045 WALNUT LAKE ROAD, WEST BLOOMFIELD MI 48025 US"	"-83.322958"	"42.551349"
