""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"1740"	"803890.0"	"0.0"	"Week1"	"8060"	"T"	"1.0"	"CANCER & HEMATOLOGY CENTERS"	"2959 LUCERNE DR SE SUITE 200 ATTN: FINANCE, GRAND,   US"	"-85.518921"	"42.91026"
"1741"	"882664.0"	"7844.0"	"Week1"	"8060"	"T"	"2.0"	"SYTSEMA FUNERAL HOMES INC."	"6291 S. HARVEY, MUSKEGON MI 49444-9739 US,   US"	"-86.207006"	"43.137603"
"1742"	"806952.0"	"0.0"	"Week1"	"8060"	"T"	"3.0"	"BOOYAH'S SPORTS BAR"	"6022 HARVEY ST, Muskegon MI 49415 US,   US"	"-86.205372"	"43.142869"
"1743"	"806951.0"	"0.0"	"Week1"	"8060"	"T"	"4.0"	"DOMINO'S PIZZA"	"6022 HARVEY ST, MUSKEGON MI 49444 US,   US"	"-86.205372"	"43.142869"
"1744"	"803510.0"	"0.0"	"Week4"	"8060"	"T"	"4.0"	"LAKE HARBOR UNITED METHODIST"	"4861 S HENRY ST, MUSKEGON MI 49441 US,   US"	"-86.264435"	"43.164454"
"1745"	"805977.0"	"0.0"	"Week2"	"8060"	"T"	"4.0"	"MR. QUICK RESTAURANTS"	"4190 Grand Haven Rd, MUSKEGON MI 49444 US,   US"	"-86.219601"	"43.177055"
"1746"	"802569.0"	"0.0"	"Week3"	"8060"	"T"	"5.0"	"SERVICE 1 FEDERAL CREDIT UNION"	"1625 EASTWIND, MUSKEGON MI 49441 US,   US"	"-86.205155"	"43.144228"
"1747"	"806385.0"	"0.0"	"Week1"	"8060"	"T"	"5.0"	"WESTSHORE PROPERTY MGMT"	"4265 GRAND HAVEN RD, NORTON SHORES MI 49441 US,   US"	"-86.220982"	"43.175284"
"1748"	"806384.0"	"0.0"	"Week1"	"8060"	"T"	"6.0"	"CINEMA CAROUSEL THEATRE"	"4289 GRAND HAVEN RD, MUSKEGON MI 49441 US,   US"	"-86.221546"	"43.174017"
"1749"	"802171.0"	"0.0"	"Week1"	"8060"	"T"	"7.0"	"LEFLUER CORPORATION LLC"	"4210 GRAND HAVEN RD, MUSKEGON MI 49441 US,   US"	"-86.219961"	"43.175898"
"1750"	"803505.0"	"0.0"	"Week2"	"8060"	"T"	"7.0"	"HODGE PODGE BAKE SHOP"	"3361 MCCRACKEN, MUSKEGON MI 49441 US,   US"	"-86.294088"	"43.191773"
"1751"	"808915.0"	"0.0"	"Week1"	"8060"	"T"	"8.0"	"FIRST CLASS TOWING, LLC"	"4585 GRAND HAVEN ROAD, MUSKEGON MI 49441 US,   US"	"-86.221016"	"43.169262"
"1752"	"803855.0"	"0.0"	"Week1"	"8060"	"T"	"9.0"	"BABBITT'S SPORT CENTER"	"3712 AIRLINE RD, MUSKEGON MI 49444 US,   US"	"-86.2245315"	"43.1862048"
"1753"	"803857.0"	"0.0"	"Week1"	"8060"	"T"	"10.0"	"AIRLINE BAR"	"3680 AIRLINE, MUSKEGON HEIGHTS MI 49444 US,   US"	"-86.2276993"	"43.1873112"
"1754"	"879223.0"	"0.0"	"Week2"	"8060"	"T"	"10.0"	"HARBOR HOSPICE"	"1050 W WESTERN AVE, MUSKEGON MI 49441 US,   US"	"-86.268581"	"43.229639"
"1755"	"807853.0"	"0.0"	"Week1"	"8060"	"T"	"11.0"	"FANCY YANCY'S SALON LLC"	"2754 PECK ST, MUSKEGON HTS MI 49444 US,   US"	"-86.244585"	"43.2019783"
"1756"	"804770.0"	"0.0"	"Week2"	"8060"	"T"	"11.0"	"PIGEON HILL BREWERY LLC"	"895 FOURTH ST (TAPROOM), MUSKEGON MI 49442 US,   US"	"-86.256596"	"43.235847"
"1757"	"805360.0"	"0.0"	"Week1"	"8060"	"T"	"12.0"	"DR ROLF'S BBQ"	"477 WEST WESTERN, MUSKEGON MI 49440 US,   US"	"-86.254581"	"43.234192"
"1758"	"805170.0"	"0.0"	"Week2"	"8060"	"T"	"12.0"	"WEST MICHIGAN DOCK & MARKET"	"560 MART STREET, MUSKEGON MI 49440 US,   US"	"-86.2588023"	"43.2358864"
"1759"	"806187.0"	"0.0"	"Week1"	"8060"	"T"	"13.0"	"HAMBURGER MIKEY"	"1129 THIRD ST, MUSKEGON MI 49442 US,   US"	"-86.249654"	"43.231845"
"1760"	"808199.0"	"0.0"	"Week1"	"8060"	"T"	"14.0"	"NO NAME BAR"	"609 W WESTERN, N MUSKEGON MI 49440 US,   US"	"-86.257918"	"43.232222"
"1761"	"805829.0"	"0.0"	"Week2"	"8060"	"T"	"14.0"	"CENTURY BUILDING"	"356 W WESTERN AVE, MUSKEGON MI 49440 US,   US"	"-86.252463"	"43.236192"
"1762"	"804010.0"	"0.0"	"Week1"	"8060"	"T"	"15.0"	"MERCY VISITING NURSE SERVICE"	"888 TERRACE, MUSKEGON MI 49440 US,   US"	"-86.246044"	"43.23654"
"1763"	"804771.0"	"0.0"	"Week1"	"8060"	"T"	"16.0"	"SPORTFISHERMAN SERVICE (MIKE'S"	"545 OTTAWA ST, MUSKEGON MI 49442 US,   US"	"-86.2410493"	"43.2426278"
"1764"	"808186.0"	"0.0"	"Week1"	"8060"	"T"	"17.0"	"COFESSCO FIRE PROTECTION, IN"	"411 OTTAWA, MUSKEGON MI 49442-1012 US,   US"	"-86.239527"	"43.245249"
"1765"	"803990.0"	"0.0"	"Week3"	"8060"	"T"	"17.0"	"OUR LADY OF GRACE"	"451 S. GETTY, MUSKEGON MI 49442 US,   US"	"-86.2248765"	"43.2443118"
"1766"	"805361.0"	"0.0"	"Week1"	"8060"	"T"	"18.0"	"NORTON SHORES ESTATES 0325"	"3223 BAILEY, NORTON SHORES MI 49444 US,   US"	"-86.212693"	"43.192742"
"1767"	"807751.0"	"0.0"	"Week1"	"8060"	"T"	"19.0"	"ODYSSEY ENTERTAINMENT"	"700 E BROADWAY, MUSKEGON HEIGHTS MI 49444 US,   US"	"-86.227563"	"43.201844"
"1768"	"802570.0"	"0.0"	"Week3"	"8060"	"T"	"19.0"	"SERVICE 1 FEDERAL CREDIT UNION"	"1075 E. SHERMAN BLVD, MUSKEGON MI US,   US"	"-86.2177603"	"43.2044935"
"1769"	"802588.0"	"0.0"	"Week1"	"8060"	"T"	"20.0"	"SHORELINE DENTAL PLLC"	"1221 E. SHERMAN BLVD., MUSKEGON MI 49444 US,   US"	"-86.214315"	"43.204668"
"1770"	""	""	"Week1"	"8060"	"T"	""	"Grand Rapids Depot"	"3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US"	"-85.754724"	"43.015275"
"1771"	""	""	"Week2"	"8060"	"T"	""	"Grand Rapids Depot"	"3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US"	"-85.754724"	"43.015275"
"1772"	""	""	"Week3"	"8060"	"T"	""	"Grand Rapids Depot"	"3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US"	"-85.754724"	"43.015275"
"1773"	""	""	"Week4"	"8060"	"T"	""	"Grand Rapids Depot"	"3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US"	"-85.754724"	"43.015275"
"1774"	"804700.0"	"0.0"	"Week1"	"8060"	"W"	"1.0"	"RENK, AMERICA"	"76 GETTY ST, MUSKEGON MI 49442 US,   US"	"-86.22392758"	"43.24301217"
"1775"	""	""	"Week1"	"8060"	"W"	""	"Grand Rapids Depot"	"3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US"	"-85.754724"	"43.015275"
"1776"	""	""	"Week3"	"8060"	"W"	""	"Grand Rapids Depot"	"3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US"	"-85.754724"	"43.015275"
"1777"	"883084.0"	"30415.0"	"Week1"	"8060"	"R"	"1.0"	"MAISD WESLEY SCHOOL LAKE. LC"	"915 WESLEY AVE., MUSKEGON MI 49442 US,   US"	"-86.221106"	"43.240716"
"1778"	"883084.0"	"3082.0"	"Week1"	"8060"	"R"	"2.0"	"MAISD - WESLEY SCHOOL"	"915 WESLEY AVE., MUSKEGON MI 49442 US,   US"	"-86.221106"	"43.240716"
"1779"	"883084.0"	"3083.0"	"Week1"	"8060"	"R"	"3.0"	"MAISD MACTC-HARVEY (MATS)"	"200 HARVEY ST., MUSKEGON MI 49442 US,   US"	"-86.2032048"	"43.251792"
"1780"	"883084.0"	"3084.0"	"Week1"	"8060"	"R"	"4.0"	"MUSKEGON AREA INTERMEDIATE SCH"	"200 HARVEY ST, MUSKEGON MI 49442-2142 US,   US"	"-86.2032048"	"43.251792"
"1781"	"883084.0"	"3088.0"	"Week1"	"8060"	"R"	"5.0"	"MAISD MACTC-CULINARY MGT."	"200 HARVEY ST., MUSKEGON MI 49442-1418 US,   US"	"-86.2032048"	"43.251792"
"1782"	"882351.0"	"2351.0"	"Week1"	"8060"	"R"	"6.0"	"MUSKEGON COMMUNITY COLLEGE"	"221 QUARTERLINE ROAD, MUSKEGON MI 49442 US,   US"	"-86.1956168"	"43.2502198"
