Route,Type,Time
23,Send,5/27/22 4:31 PM
3,Send,5/31/22 1:07 PM
13,Send,5/31/22 1:30 PM
3,Send,5/31/22 1:32 PM
38,Send,5/31/22 1:55 PM
32,Send,6/6/22 2:30 PM
35,Send,6/6/22 4:56 PM
23,Send,6/6/22 5:06 PM
3,Send,6/6/22 5:29 PM
3,Send,6/7/22 1:46 PM
32,Send,6/7/22 2:02 PM
13,Send,6/7/22 2:09 PM
38,Send,6/6/22 4:36 PM
38,Send,6/7/22 3:02 PM
35,Send,6/7/22 3:49 PM
23,Send,6/7/22 4:14 PM
13,Send,5/25/22 3:14 PM
23,Send,5/25/22 3:28 PM
38,Send,5/26/22 1:05 PM
3,Send,5/26/22 3:48 PM
13,Send,8/15/22 12:56 PM
3,Send,8/15/22 2:38 PM
32,Send,8/15/22 1:31 PM
23,Send,8/15/22 3:42 PM
35,Send,8/15/22 3:48 PM
38,Send,8/15/22 4:14 PM
23,Send,8/2/22 4:33 PM
3,Send,8/3/22 1:36 PM
13,Send,8/3/22 1:36 PM
23,Send,8/3/22 3:59 PM
38,Send,8/3/22 4:15 PM
35,Send,8/3/22 4:25 PM
3,Send,8/4/22 11:00 AM
32,Send,8/2/22 1:45 PM
3,Send,8/2/22 2:13 PM
38,Send,8/2/22 3:01 PM
13,Send,8/2/22 2:50 PM
13,Send,8/2/22 2:50 PM
35,Send,8/2/22 4:46 PM
32,Send,8/3/22 12:33 PM
13,Send,8/3/22 1:36 PM
3,Send,8/4/22 1:10 PM
23,Send,8/4/22 3:09 PM
35,Send,8/4/22 3:15 PM
38,Send,8/4/22 3:28 PM
32,Send,8/4/22 2:07 PM
13,Send,8/4/22 4:09 PM
38,Send,8/5/22 2:31 PM
23,Send,8/5/22 4:05 PM
23,Send,1/7/22 11:44 AM
13,Send,1/7/22 1:26 PM
13,Send,4/22/22 2:54 PM
32,Send,4/22/22 4:19 PM
35,Send,4/22/22 5:16 PM
35,Send,4/25/22 10:41 AM
13,Send,4/25/22 1:46 PM
3,Send,4/25/22 1:57 PM
