"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"2360","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","LINC UP","14","13","Route Stop","06:35:29","06:35:29","","0","26.705041322314","46.6604132231405","","12740","","","","","False","","","False","","","No Priority","0","0","0","","1167 MADISON SE, GRAND RAPIDS MI 49507 US","1167 MADISON SE","","GRAND RAPIDS","MI","49507","US","-85.659381","42.941458","3","Street Address - Automatic","1167 Madison Ave SE, Grand Rapids MI 49507 US","1167 Madison Ave SE","","Grand Rapids","MI","49507","US","252.175252283762","0.252175252283762","0.156694439121864","0","252.175252283762","0.408025361597538","532738","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27833","","-39111"
"2361","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","ARVON BREWING","15","14","Route Stop","06:37:07","06:37:07","","0","54.5108284023669","63.3768639053255","","14363","","","","","False","","","False","","","No Priority","0","0","0","","1006 DIVISION AVENUE, GRAND RAPIDS MI 49507 US","1006 DIVISION AVENUE","","GRAND RAPIDS","MI","49507","US","-85.666961","42.944842","3","Street Address - Automatic","1006 Division Ave S, Grand Rapids MI 49507 US","1006 Division Ave S","","Grand Rapids","MI","49507","US","1019.20489353035","1.01920489353035","0.633304567738825","0","1019.20489353035","1.62904615700245","533183","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27834","","-39112"
"2362","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","GARDEN FRESH GOURMET, LLC","16","15","Route Stop","06:37:52","06:37:52","","0","243.037335640138","574.121487889273","","9974","","","","","False","","","False","","","No Priority","0","0","0","","45 FRANKLIN, GRAND RAPIDS MI 49503 US","45 FRANKLIN","","GRAND RAPIDS","MI","49503","US","-85.669045","42.9494895","3","Street Address - Automatic","45 Franklin St SE, Grand Rapids MI 49503 US","45 Franklin St SE","","Grand Rapids","MI","49503","US","557.67694877534","0.55767694877534","0.346524394872872","0","557.67694877534","0.751087479293346","531005","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27844","","-39113"
"2363","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","DOWNTOWN MARKET-GR","17","16","Route Stop","06:40:06","06:40:06","","0","79.8604142011834","81.4580473372781","","9881","","","","","False","","","False","","","No Priority","0","0","0","","435 IONIA, GRAND RAPIDS MI 49503 US","435 IONIA","","GRAND RAPIDS","MI","49503","US","-85.6709352","42.9549217","5","Street Address - Manual","435 Ionia Ave NW, Grand Rapids MI 49503 US","435 Ionia Ave NW","","Grand Rapids","MI","49503","US","860.90126721194","0.860901267211939","0.534939253489004","0","860.90126721194","2.23727429658175","530921","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27842","","-39114"
"2364","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","DOWNTOWN MARKET - EVENTS","18","17","Route Stop","06:40:06","06:40:06","","0","78.7701183431953","484.982189349113","","10038","","","","","False","","","False","","","No Priority","0","0","0","","435 IONIA, GRAND RAPIDS MI 49503 US","435 IONIA","","GRAND RAPIDS","MI","49503","US","-85.6709352","42.9549217","5","Street Address - Manual","435 Ionia Ave NW, Grand Rapids MI 49503 US","435 Ionia Ave NW","","Grand Rapids","MI","49503","US","0","0","0","0","0","0","531061","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27845","","-39115"
"2365","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","FIELD & FIRE","19","18","Route Stop","06:40:25","06:40:25","","0","54.0604142011834","55.6580473372781","","9906","","","","","False","","","False","","","No Priority","0","0","0","","435 IONIA ST SW, GRAND RAPIDS MI 49503 US","435 IONIA ST SW","","GRAND RAPIDS","MI","49503","US","-85.670675","42.954713","3","Street Address - Automatic","435 Ionia Ave SW, Grand Rapids MI 49503 US","435 Ionia Ave SW","","Grand Rapids","MI","49503","US","52.4274675708039","0.0524274675708039","0.0325769184374315","0","52.4274675708039","0.314543919637799","530945","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27843","","-39116"
"2366","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","MAX'S SOUTHSEAS HIDEAWAY","20","19","Route Stop","06:43:21","06:43:21","","0","552.370473372781","1006.34183431953","","14608","","","","","False","","","False","","","No Priority","0","0","0","","58 IONIA SW, GRAND RAPIDS MI 49503 US","58 IONIA SW","","GRAND RAPIDS","MI","49503","US","-85.669945","42.961528","3","Street Address - Automatic","58 Ionia Ave SW, Grand Rapids MI 49503 US","58 Ionia Ave SW","","Grand Rapids","MI","49503","US","748.835003421675","0.748835003421675","0.465304504678131","0","748.835003421675","2.92102894373238","533280","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27812","","-39117"
"2367","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","TWO BEARDS DELI","21","20","Route Stop","06:44:20","06:44:20","","0","102.545","307.4275","","9547","","","","","False","","","False","","","No Priority","0","0","0","","38 COMMERCE AVE SW SUITE 101, GRAND RAPIDS MI 49503 US","38 COMMERCE AVE SW","SUITE 101","GRAND RAPIDS","MI","49503","US","-85.668768","42.961911","3","Street Address - Automatic","38 Commerce Ave SW, Grand Rapids MI 49503 US","38 Commerce Ave SW","","Grand Rapids","MI","49503","US","199.57188172107","0.19957188172107","0.124008219631279","0","199.57188172107","0.987088400870562","530651","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27840","","-39118"
"2368","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","CITY FLATS-EVENTS AT CITY FLAT","22","21","Route Stop","06:45:32","06:45:32","","0","133.80449704142","441.303195266272","","11138","","","","","False","","","False","","","No Priority","0","0","0","","35 IONIA AVE NEW, GRAND RAPIDS MI 49503 US","35 IONIA AVE NEW","","GRAND RAPIDS","MI","49503","US","-85.6697008","42.96417615","5","Street Address - Manual","35 Ionia Ave NW, Grand Rapids MI 49503 US","35 Ionia Ave NW","","Grand Rapids","MI","49503","US","279.38020228916","0.27938020228916","0.173598811552658","0","279.38020228916","1.20702832564712","530965","00001","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27830","","-39119"
"2369","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","THE APARTMENT LOUNGE","23","22","Route Stop","06:46:59","06:46:59","","0","100.641952662722","166.867278106509","","9719","","","","","False","","","False","","","No Priority","0","0","0","","33 SHELDON NE, GRAND RAPIDS MI 49503 US","33 SHELDON NE","","GRAND RAPIDS","MI","49503","US","-85.667104","42.964173","3","Street Address - Automatic","33 Sheldon Ave NE, Grand Rapids MI 49503 US","33 Sheldon Ave NE","","Grand Rapids","MI","49503","US","372.203193921906","0.372203193921906","0.231276345251087","0","372.203193921906","1.45014646835625","530794","00000","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27841","","-39120"
