"cu_id"	"Account"	"Customer"	"New Delivery Day"	"Alliant Sequence"	"Customer Name"	"Address"	"X_Longitude"	"Y_Latitude"
"4864"	"299010"	"00005"	"W"	"40"	"CRYSTAL-CONFERENCE CENTER     "	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4865"	"299010"	"00006"	"F"	"80"	"CRYSTAL-LODGE                 "	"12500 CRYSTAL MNT.ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4866"	"299010"	"00007"	"F"	"120"	"CRYSTAL-WILD MATS             "	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4867"	"299010"	"00008"	"T"	"40"	"CRYSTAL-PEAK                  "	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4868"	"299010"	"00009"	"W"	"10"	"CRYSTAL-MAZ/SNOW SPORTS  "	"12500 CRYSTAL MNT ROAD, Thompsonville MI 49683 US"	"-85.990933"	"44.519406"
"4869"	"299010"	"00010"	"W"	"60"	"CRYSTAL-COLONY                "	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4870"	"299010"	"00011"	"F"	"90"	"CRYSTAL-THE WILD TOMATO       "	"12500 CRYSTAL MNT DR., THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4871"	"299010"	"00012"	"F"	"190"	"CRYSTAL-CENTER                "	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4872"	"299010"	"00013"	"W"	"20"	"CRYSTAL-OUTSIDE MAINT         "	"12500 CRYSTAL MOUNTAIN DR, THOMPSONVILLE MI 49683 "	"-85.990933"	"44.519406"
"4873"	"299010"	"00014"	"W"	"130"	"CRYSTAL-SKI PATROL            "	"12500 CRYSTAL MTN RD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"4874F"	"299010"	"00015"	"F"	""	"CRYSTAL-FACILITIES"	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990923"	"44.519409"
"4874M"	"299010"	"00015"	"M"	""	"CRYSTAL-FACILITIES"	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990923"	"44.519409"
"4874R"	"299010"	"00015"	"R"	""	"CRYSTAL-FACILITIES"	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990923"	"44.519409"
"4874T"	"299010"	"00015"	"T"	""	"CRYSTAL-FACILITIES"	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990923"	"44.519409"
"4874W"	"299010"	"00015"	"W"	""	"CRYSTAL-FACILITIES"	"12500 CRYSTAL MNT ROAD, THOMPSONVILLE MI 49683 US"	"-85.990923"	"44.519409"
"4875"	"299010"	"00016"	"T"	"100"	"CRYSTAL-WATERS EDGE           "	"12500 CRYSTAL MT DRIVE, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"9309"	"299010"	"00026"	"W"	"110"	"CRYSTAL THISTLE MATS"	"12500 CRYSTAL MT DR, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
"9911"	"299010"	"00021"	"F"	"180"	"CRYSTAL CONFERENCE SETUP"	"12500 CRYSTAL MT RD, THOMPSONVILLE MI 49683 US"	"-85.990933"	"44.519406"
