""	"Acct #"	"Cust #"	"Week #"	"New Rt"	"New Delivery Day"	"New Stop"	"Customer Name"	"DisplayAddressFull"	"X_Longitude"	"Y_Latitude"
"674"	"29076.0"	"2.0"	"Week1"	"71"	"F"	"22.0"	"AUBURN HILLS-PUBLIC SERVICES"	"1500 BROWN RD, AUBURN HILLS MI 48326 US"	"-83.271395"	"42.707129"
"675"	"99033.0"	"83.0"	"Week1"	"71"	"F"	"23.0"	"CONTINENTAL NORTH #21713"	"1 CONTINENTAL DR, AUBURN HILLS MI 48326 US"	"-83.280347"	"42.702544"
"676"	"31183.0"	"1.0"	"Week1"	"71"	"F"	"24.0"	"5TH TAVERN"	"7228 N MAIN STREET, CLARKSTON MI 48346 US"	"-83.418369"	"42.743728"
"677"	"31151.0"	"0.0"	"Week1"	"71"	"F"	"21.0"	"DRUMMOND PRESS"	"143 NORTHPOINTE DRIVE, LAKE ORION MI 48359 US"	"-83.239294"	"42.71461"
"678"	"99033.0"	"144.0"	"Week1"	"71"	"F"	"18.0"	"NOTRE DAME PREP SCHOOL #40009"	"1300 GIDDINGS ROAD, PONTIAC MI 48340 US"	"-83.258237"	"42.673535"
"679"	"99033.0"	"244.0"	"Week1"	"71"	"F"	"19.0"	"EUREST AT GUARDIAN #50591"	"2300 HARMON ROAD, AUBURN HILLS MI 48326 US"	"-83.249242"	"42.698999"
"680"	"33241.0"	"0.0"	"Week1"	"71"	"F"	"20.0"	"CULVERS LAKE ORION"	"4963 INERPARK DR. NORTH, LAKE ORION MI 48359 US"	"-83.241625"	"42.709552"
"681"	"29468.0"	"0.0"	"Week1"	"71"	"R"	"3.0"	"BRAVO CAFE"	"621 AUBURN RD, PONTIAC MI 48342 US"	"-83.267876"	"42.634995"
"682"	"31169.0"	"0.0"	"Week1"	"71"	"R"	"4.0"	"SHEILA'S BAKERY"	"800 N PERRY STREET, PONTIAC MI 48342 US"	"-83.278695"	"42.654259"
"683"	"31780.0"	"0.0"	"Week1"	"71"	"R"	"5.0"	"ALTADONA CONEY ISLAND"	"1035 N. PERRY STREET, PONTIAC MI 48340 US"	"-83.272984"	"42.659819"
